space_id,property_id,apartment_name,room_name,occupancy_type,security_deposit,date_available,status,created_at,updated_at,mo3_price,mo6_price,mo9_price,mo12_price,bedroom_count,bath_count,min_price,max_price
7891,8099e3c98b4,361-365 Broadway,361-365 Broadway,traditional,,3000-01-01,expired,2021-06-15 17:55:18.799763,2021-11-10 22:41:40.172366,0,0,0,0,1,1,0,0
8468,7c3fbfcceb4,28,28,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:44.755471,2021-11-08 19:57:26.793257,0,2050,2050,2050,2,1,0,2050
8465,7c3fbfcceb4,35,35,traditional,149,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:44.728641,2021-11-08 19:57:26.754917,0,1550,1550,1550,0,1,0,1550
8464,7c3fbfcceb4,3,3,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:44.719948,2021-11-08 19:57:26.743791,0,1750,1750,1750,1,1,0,1750
8463,7c3fbfcceb4,32,32,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:44.71138,2021-11-08 19:57:26.731173,0,2050,2050,2050,2,1,0,2050
8461,7c3fbfcceb4,2,2,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:44.692948,2021-11-08 19:57:26.719941,0,1750,1750,1750,1,1,0,1750
8452,7c3fbfcceb4,18,18,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:44.613156,2021-11-08 19:57:26.638284,0,2050,2050,2050,2,1,0,2050
8451,7c3fbfcceb4,5,5,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:44.604537,2021-11-08 19:57:26.62619,0,2050,2050,2050,2,1,0,2050
8450,7c3fbfcceb4,31,31,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:44.595801,2021-11-08 19:57:26.615817,0,1750,1750,1750,1,1,0,1750
8449,7c3fbfcceb4,27,27,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:44.5867,2021-11-08 19:57:26.604289,0,2050,2050,2050,2,1,0,2050
8448,7c3fbfcceb4,17,17,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:44.578083,2021-11-08 19:57:26.590572,0,2050,2050,2050,2,1,0,2050
8472,7c3fbfcceb4,14,14,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:44.79037,2021-11-08 19:57:26.577812,0,1750,1750,1750,1,1,0,1750
8438,7c3fbfcceb4,20,20,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:44.488959,2021-11-08 19:57:26.468371,0,1750,1750,1750,1,1,0,1750
8437,7c3fbfcceb4,22,22,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:44.479689,2021-11-08 19:57:26.456737,0,2050,2050,2050,2,1,0,2050
8471,7c3fbfcceb4,19,19,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:44.781482,2021-11-15 18:12:44.350425,0,1750,1750,1750,1,1,0,1750
8447,7c3fbfcceb4,12,12,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:44.569304,2021-11-08 19:57:26.566965,0,2050,2050,2050,2,1,0,2050
8445,7c3fbfcceb4,7,7,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:44.552122,2021-11-08 19:57:26.535501,0,2050,2050,2050,2,1,0,2050
8473,7c3fbfcceb4,10,10,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:44.799243,2021-11-29 16:22:14.132842,0,1750,1750,1750,1,1,0,1750
8443,7c3fbfcceb4,36,36,traditional,,2022-02-09,On Notice (Available),2021-06-15 17:55:44.534736,2022-01-11 15:28:54.042749,0,1750,1750,1750,1,1,0,1750
8470,7c3fbfcceb4,37,37,traditional,,3000-01-01,Vacant Ready (Unavailable),2021-06-15 17:55:44.772758,2022-01-10 03:31:33.343393,0,2250,2250,2250,2,1,0,2250
8442,7c3fbfcceb4,25,25,traditional,149,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:44.525173,2021-11-08 19:57:26.51237,0,1550,1550,1550,0,1,0,1550
8439,7c3fbfcceb4,1,1,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:44.497622,2021-11-08 19:57:26.47975,0,2050,2050,2050,2,1,0,2050
8469,7c3fbfcceb4,30,30,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:44.764005,2021-11-08 19:57:26.803115,0,1750,1750,1750,1,1,0,1750
8460,7c3fbfcceb4,23,23,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:44.683777,2021-11-08 19:57:26.708952,0,2050,2050,2050,2,1,0,2050
8459,7c3fbfcceb4,24,24,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:44.674921,2021-11-08 19:57:26.699481,0,1750,1750,1750,1,1,0,1750
8457,7c3fbfcceb4,34,34,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:44.656688,2021-11-08 19:57:26.690088,0,1750,1750,1750,1,1,0,1750
8456,7c3fbfcceb4,6,6,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:44.64803,2021-11-08 19:57:26.680577,0,2050,2050,2050,2,1,0,2050
8458,7c3fbfcceb4,8,8,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:44.665831,2021-12-21 15:18:48.70923,0,2050,2050,2050,2,1,0,2050
8455,7c3fbfcceb4,15,15,traditional,149,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:44.639078,2021-11-08 19:57:26.670887,0,1550,1550,1550,0,1,0,1550
8453,7c3fbfcceb4,33,33,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:44.621905,2021-11-08 19:57:26.651998,0,2050,2050,2050,2,1,0,2050
8444,7c3fbfcceb4,4,4,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:44.543639,2021-11-08 19:57:26.524541,0,1750,1750,1750,1,1,0,1750
8462,7c3fbfcceb4,21,21,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:44.701997,2021-11-29 16:22:14.14362,0,1750,1750,1750,1,1,0,1750
8467,7c3fbfcceb4,16,16,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:44.74633,2021-11-08 19:57:26.777849,0,1750,1750,1750,1,1,0,1750
8466,7c3fbfcceb4,13,13,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:44.737301,2021-11-08 19:57:26.766034,0,2050,2050,2050,2,1,0,2050
8454,7c3fbfcceb4,11,11,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:44.630488,2021-11-08 19:57:26.660917,0,1750,1750,1750,1,1,0,1750
8446,7c3fbfcceb4,9,9,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:44.560674,2021-11-08 19:57:26.556069,0,1750,1750,1750,1,1,0,1750
8441,7c3fbfcceb4,26,26,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:44.515116,2021-11-08 19:57:26.501222,0,1750,1750,1750,1,1,0,1750
8440,7c3fbfcceb4,29,29,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:44.506594,2021-11-08 19:57:26.490894,0,1750,1750,1750,1,1,0,1750
9628,06c92aa88e2,8,8,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:56:27.050277,2021-11-08 19:58:54.577186,0,1900,1900,1900,2,1,0,1900
9623,06c92aa88e2,28,28,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:56:27.002,2021-11-08 19:58:54.535631,0,1900,1900,1900,2,1,0,1900
9622,06c92aa88e2,30,30,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:56:26.98873,2021-11-08 19:58:54.524604,0,1600,1600,1600,1,1,0,1600
9621,06c92aa88e2,22,22,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:56:26.97352,2021-11-08 19:58:54.513921,0,1900,1900,1900,2,1,0,1900
9620,06c92aa88e2,2,2,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:56:26.964112,2021-11-08 19:58:54.504209,0,1300,1300,1300,0,1,0,1300
9606,06c92aa88e2,4,4,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:56:26.834228,2021-11-08 19:58:54.379491,0,1900,1900,1900,2,1,0,1900
9605,06c92aa88e2,29,29,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:56:26.824494,2021-11-08 19:58:54.369208,0,1900,1900,1900,2,1,0,1900
9604,06c92aa88e2,23,23,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:56:26.811304,2021-11-08 19:58:54.35949,0,1900,1900,1900,2,1,0,1900
9607,06c92aa88e2,15,15,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:56:26.843706,2021-11-08 19:58:54.389395,0,1900,1900,1900,2,1,0,1900
9624,06c92aa88e2,1,1,traditional,,2022-05-05,On Notice (Available),2021-06-15 17:56:27.012705,2021-11-08 19:58:54.610662,0,1600,1600,1600,1,1,0,1600
9629,06c92aa88e2,21,21,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:56:27.064329,2021-11-08 19:58:54.588302,0,1900,1900,1900,2,1,0,1900
9626,06c92aa88e2,5,5,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:56:27.032251,2021-11-08 19:58:54.555103,0,1900,1900,1900,2,1,0,1900
9618,06c92aa88e2,13,13,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:56:26.94501,2021-11-08 19:58:54.484335,0,1900,1900,1900,2,1,0,1900
9603,06c92aa88e2,18,18,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:56:26.802365,2021-11-08 19:58:54.348931,0,1600,1600,1600,1,1,0,1600
9599,06c92aa88e2,3,3,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:56:26.763901,2021-11-08 19:58:54.308104,0,1900,1900,1900,2,1,0,1900
9598,06c92aa88e2,7,7,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:56:26.752731,2021-11-08 19:58:54.296967,0,1900,1900,1900,2,1,0,1900
9610,06c92aa88e2,6,6,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:56:26.871442,2021-11-08 19:58:54.409412,0,1900,1900,1900,2,1,0,1900
9627,06c92aa88e2,32,32,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:56:27.041316,2021-11-08 19:58:54.565997,0,1900,1900,1900,2,1,0,1900
9615,06c92aa88e2,27,27,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:56:26.916793,2021-11-08 19:58:54.456771,0,1900,1900,1900,2,1,0,1900
9600,06c92aa88e2,24,24,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:56:26.774266,2021-11-08 19:58:54.317913,0,1900,1900,1900,2,1,0,1900
9601,06c92aa88e2,31,31,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:56:26.784021,2021-11-08 19:58:54.327779,0,1900,1900,1900,2,1,0,1900
9609,06c92aa88e2,19,19,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:56:26.862052,2021-11-08 19:58:54.599431,0,1895,1895,1895,2,1,0,1895
9619,06c92aa88e2,17,17,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:56:26.954398,2021-11-08 19:58:54.493825,0,1900,1900,1900,2,1,0,1900
9608,06c92aa88e2,16,16,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:56:26.852872,2021-11-08 19:58:54.397982,0,1900,1900,1900,2,1,0,1900
9616,06c92aa88e2,26,26,traditional,,2022-02-25,On Notice (Available),2021-06-15 17:56:26.925823,2022-01-20 22:05:23.382072,0,1600,1600,1600,1,1,0,1600
9625,06c92aa88e2,12,12,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:56:27.022921,2021-11-08 19:58:54.545308,0,1900,1900,1900,2,1,0,1900
9614,06c92aa88e2,20,20,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:56:26.907916,2021-11-08 19:58:54.446803,0,1900,1900,1900,2,1,0,1900
9613,06c92aa88e2,14,14,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:56:26.898894,2021-11-08 19:58:54.438076,0,1900,1900,1900,2,1,0,1900
9612,06c92aa88e2,10,10,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:56:26.889691,2021-11-08 19:58:54.42754,0,1600,1600,1600,1,1,0,1600
9611,06c92aa88e2,9,9,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:56:26.880669,2021-11-08 19:58:54.418445,0,1900,1900,1900,2,1,0,1900
9617,06c92aa88e2,25,25,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:56:26.935443,2021-11-08 19:58:54.474464,0,1900,1900,1900,2,1,0,1900
9602,06c92aa88e2,11,11,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:56:26.793278,2021-11-08 19:58:54.33813,0,1900,1900,1900,2,1,0,1900
8508,3ab8086e29a,506,506,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:46.955342,2021-11-08 19:57:29.235549,0,1701,1701,1701,1,1,0,1701
8506,3ab8086e29a,504,504,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:46.934772,2021-11-08 19:57:29.212688,0,2700,2700,2700,2,2,0,2700
8505,3ab8086e29a,503,503,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:46.925179,2021-11-08 19:57:29.200341,0,2200,2200,2200,1,1,0,2200
8490,3ab8086e29a,303,303,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:46.775571,2021-11-08 19:57:29.031363,0,2231,2231,2231,1,1,0,2231
8488,3ab8086e29a,301,301,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:46.756313,2021-11-08 19:57:29.01887,0,2339,2339,2339,3,2,0,2339
8507,3ab8086e29a,505,505,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:46.945627,2021-11-08 19:57:29.224332,0,2032,2032,2032,2,2,0,2032
8492,3ab8086e29a,305,305,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:46.795996,2021-11-08 19:57:29.055002,0,2700,2700,2700,2,2,0,2700
8491,3ab8086e29a,304,304,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:46.785761,2021-11-08 19:57:29.043653,0,2032,2032,2032,2,2,0,2032
8476,3ab8086e29a,409,409,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:46.640493,2021-11-08 19:57:28.895332,0,2200,2200,2200,1,1,0,2200
8475,3ab8086e29a,307,307,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:46.631284,2021-11-08 19:57:28.88362,0,2083,2083,2083,0,1,0,2083
8474,3ab8086e29a,306,306,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:46.620802,2021-11-08 19:57:28.855522,0,2200,2200,2200,1,1,0,2200
8502,3ab8086e29a,408,408,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:46.895842,2021-11-08 19:57:29.166134,0,1596,1596,1596,0,1,0,1596
8500,3ab8086e29a,406,406,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:46.876753,2021-11-08 19:57:29.14379,0,1701,1701,1701,1,1,0,1701
8497,3ab8086e29a,403,403,traditional,,3000-01-01,On Notice (Available),2021-06-15 17:55:46.847634,2022-01-27 22:12:59.620588,0,1791,1791,1791,1,1,0,1791
8493,3ab8086e29a,308,308,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:46.805665,2021-11-08 19:57:29.067063,0,1596,1596,1596,0,1,0,1596
8483,3ab8086e29a,205,205,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:46.708484,2021-11-08 19:57:28.962604,0,2032,2032,2032,2,2,0,2032
8480,3ab8086e29a,202,202,traditional,,3000-01-01,Vacant Ready (Available),2021-06-15 17:55:46.679239,2022-01-07 19:34:00.090053,0,2083,2083,2083,0,1,0,2083
8479,3ab8086e29a,201,201,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:46.668977,2021-11-08 19:57:28.929762,0,2339,2339,2339,3,2,0,2339
8487,3ab8086e29a,209,209,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:46.746862,2021-11-08 19:57:29.005623,0,1701,1701,1701,1,1,0,1701
8489,3ab8086e29a,302,302,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:46.765701,2021-11-08 19:57:29.273626,0,2000,2000,2000,0,1,0,2000
8504,3ab8086e29a,502,502,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:46.915684,2021-11-08 19:57:29.18817,0,2000,2000,2000,0,1,0,2000
8503,3ab8086e29a,501,501,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:46.905812,2021-11-08 19:57:29.176525,0,3400,3400,3400,3,2,0,3400
8501,3ab8086e29a,407,407,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:46.88618,2021-11-08 19:57:29.155542,0,2000,2000,2000,0,1,0,2000
8498,3ab8086e29a,404,404,traditional,,2022-04-05,On Notice (Available),2021-06-15 17:55:46.857253,2022-02-02 15:18:31.261026,0,2700,2700,2700,2,2,0,2700
8499,3ab8086e29a,405,405,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:46.866872,2021-11-08 19:57:29.133205,0,2700,2700,2700,2,2,0,2700
8496,3ab8086e29a,402,402,traditional,,3000-01-01,Vacant Ready (Available),2021-06-15 17:55:46.838291,2022-01-11 17:08:47.932884,0,1994,1994,1994,0,1,0,1994
8495,3ab8086e29a,401,401,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:46.828573,2021-11-08 19:57:29.089039,0,3400,3400,3400,3,2,0,3400
8494,3ab8086e29a,309,309,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:46.814899,2021-11-08 19:57:29.077618,0,1701,1701,1701,1,1,0,1701
8486,3ab8086e29a,208,208,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:46.737389,2021-11-08 19:57:28.994155,0,2000,2000,2000,0,1,0,2000
8485,3ab8086e29a,207,207,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:46.727999,2021-11-08 19:57:28.983814,0,1596,1596,1596,0,1,0,1596
8484,3ab8086e29a,206,206,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:46.718259,2021-11-08 19:57:28.972945,0,1701,1701,1701,1,1,0,1701
8482,3ab8086e29a,204,204,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:46.698734,2021-11-08 19:57:28.952075,0,2700,2700,2700,2,2,0,2700
8481,3ab8086e29a,203,203,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:46.689201,2021-11-08 19:57:28.941162,0,2200,2200,2200,1,1,0,2200
8478,3ab8086e29a,100,100,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:46.658846,2021-11-08 19:57:28.918912,0,2500,2500,2500,1,1,0,2500
8477,3ab8086e29a,509,509,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:46.649625,2021-11-08 19:57:28.908344,0,1701,1701,1701,1,1,0,1701
8509,3ab8086e29a,507,507,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:55:46.964916,2021-11-08 19:57:29.247367,0,1596,1596,1596,0,1,0,1596
8510,3ab8086e29a,508,508,traditional,,3000-01-01,On Notice (Available),2021-06-15 17:55:46.973934,2022-01-07 19:34:00.121364,0,2083,2083,2083,0,1,0,2083
9560,5f80fdd652a,6,6,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:56:22.295688,2021-11-08 19:58:50.324706,0,2050,2050,2050,2,1,0,2050
9562,5f80fdd652a,9,9,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:56:22.314614,2021-11-08 19:58:50.346924,0,2050,2050,2050,2,1,0,2050
9561,5f80fdd652a,8,8,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:56:22.305139,2021-11-08 19:58:50.335255,0,2050,2050,2050,2,1,0,2050
9559,5f80fdd652a,5,5,traditional,,3000-01-01,Occupied (Unavailable),2021-06-15 17:56:22.285645,2021-11-08 19:58:50.312985,0,2050,2050,2050,2,1,0,2050
