id,home_name,property_id,brand,city_name,neighborhood,timezone,unit_count,rownum,longitude,latitude
8095,VA.LongwoodManor,b29aa272864,noah,Woodbridge,Woodbridge,Eastern Time (US & Canada),138,1,122,-7
13544,VA.NationalLanding,fa6e061ea39,common,ARLINGTON,National Landing,Eastern Time (US & Canada),316,1,123,-6
8583,VA.Pine Plaza,1832fd0d618,noah,Winchester,Winchester,Eastern Time (US & Canada),136,1,124,-5
7972,VA.WRIGHT Apartments,534bc6b066e,noah,Winchester,Winchester,Eastern Time (US & Canada),59,1,125,-4
14114,WAS.Bowman,0dec6ade2b0,common,Washington,Chinatown,Eastern Time (US & Canada),14,1,126,-3
12801,WAS.Cassell,2cefa14a58b,common,Washington,Shaw,Eastern Time (US & Canada),51,1,127,-2
13882,WAS.Clifton,391dc8019b3,common,Washington,"Columbia Heights",Eastern Time (US & Canada),25,1,128,-1
13843,WAS.Monroe,c31dc2bef46,common,Washington,Columbia Heights,Eastern Time (US & Canada),46,1,129,0
13804,WAS.Perry,5791ad25e9e,common,Washington,University Heights,Eastern Time (US & Canada),27,1,130,1
13563,WAS.Richardson,f3e4e0576f6,common,Washington,Shaw,Eastern Time (US & Canada),24,1,131,2
12925,WAS.Wilson,ee7695fe014,common,Washington,Capitol Hill,Eastern Time (US & Canada),53,1,132,3
14699,WAS.i5Union,b82f01a7ba3,common,Washington,Union Market,Eastern Time (US & Canada),239,1,133,4
